,,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Performance,Performance,Expected,Expected,Expected,Expected,Expected,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
99,Kiernan Dewsbury Hall\5c74c0f5,eng ENG,MF,Leicester City,23-101,1998,2.9,0,4,0,0.0,1.40,0.00,0.00,,16.9,0,0,0,0.3,0.3,0.08,-0.3,-0.3,Matches
100,Ibrahima Diallo\11ff3d56,fr FRA,MF,Southampton,22-283,1999,5.6,0,4,1,25.0,0.71,0.18,0.00,0.00,18.6,0,0,0,0.3,0.3,0.08,-0.3,-0.3,Matches
101,Raphael Dias Belloli\3423f250,br BRA,MFFW,Leeds United,25-002,1996,14.0,7,42,13,31.0,3.01,0.93,0.12,0.38,21.6,5,2,2,4.7,3.2,0.08,+2.3,+1.8,Matches
102,Rúben Dias\31c69ef1,pt POR,DF,Manchester City,24-216,1997,14.9,1,6,1,16.7,0.40,0.07,0.17,1.00,10.6,0,0,0,0.3,0.3,0.05,+0.7,+0.7,Matches
103,Eric Dier\ac861941,eng ENG,DF,Tottenham,27-335,1994,13.1,0,5,2,40.0,0.38,0.15,0.00,0.00,14.5,2,0,0,0.4,0.4,0.07,-0.4,-0.4,Matches
104,Lucas Digne\1b84dbe1,fr FRA,DF,Everton,28-149,1993,13.0,0,9,1,11.1,0.69,0.08,0.00,0.00,21.1,3,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
105,Virgil van Dijk\e06683ca,nl NED,DF,Liverpool,30-161,1991,16.0,1,17,3,17.6,1.06,0.19,0.06,0.33,12.7,1,0,0,1.4,1.4,0.08,-0.4,-0.4,Matches
106,Issa Diop\a712ca2b,fr FRA,DF,West Ham,24-341,1997,3.0,0,1,1,100.0,0.33,0.33,0.00,0.00,7.2,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
107,Moussa Djenepo\254147d4,ml MLI,MF,Southampton,23-184,1998,4.8,0,10,1,10.0,2.09,0.21,0.00,0.00,15.9,0,0,0,1.5,1.5,0.15,-1.5,-1.5,Matches
108,Lewis Dobbin\e814e1cf,eng ENG,MFFW,Everton,18-347,2003,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
109,Matt Doherty\d557d734,ie IRL,DF,Tottenham,29-334,1992,0.6,0,1,0,0.0,1.58,0.00,0.00,,17.0,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
110,Gabriel Dos Santos\67ac5bb8,br BRA,DF,Arsenal,23-362,1997,13.8,2,13,5,38.5,0.95,0.36,0.15,0.40,9.0,0,0,0,0.8,0.8,0.06,+1.2,+1.2,Matches
111,Abdoulaye Doucouré\02b29014,fr FRA,MF,Everton,28-349,1993,12.0,2,21,6,28.6,1.75,0.50,0.10,0.33,16.1,0,0,0,1.8,1.8,0.09,+0.2,+0.2,Matches
